DATES,TOPICS,Quizzes
Aug 26,"1  Intro, Review 5.5",
Aug 28,Review 5.6,
Aug 30,6.1,
Sep 2,2  Labor Day,
Sep 4,6.1/6.2,
Sep 6,6.2/6.3,Quiz 1
Sep 9,3  6.3,
Sep 11,6.4,
Sep 13,6.5,Quiz 2
Sep 16,4  7.1,
Sep 18,7.2,
Sep 20,7.2/7.3,Quiz 3
Sep 23,5  7.3/8.1,
Sep 25,8.1,
Sep 27,Review for,Exam I
Sep 30,6,Exam I
Oct 2,8.2,
Oct 4,8.2/8.3,
Oct 7,7  8.3/8.4,
Oct 9,8.4/8.6,
Oct 11,8.6,Quiz 4
Oct 14,8  8.7,
Oct 16,9.1,
Oct 18,9.2,Quiz 5
Oct 21,9  9.3,
Oct 23,9.4,
Oct 25,9.5,Quiz 6
Oct 28,10  9.6,
Oct 30,Review,Exam II
Nov 1,11  9.7,Exam II
Nov 4,9.7/9.8,
Nov 6,9.8,
Nov 8,12  9.9,
Nov 11,9.10,
Nov 13,10.1,
Nov 15,13  10.2,Quiz 7
,10.3,
Nov 18,Review,
Nov 20,14,
Nov 22,Thanksgiving,Exam III
Nov 25,Thanksgiving,Exam III
Nov 27,15  10.4,
Nov 29,10.5,
Dec 5,Review for Final,
Dec 7,16  Final :45-5:45pm,
Dec 9,,
Dec 11,,Exam 3
